n	product	citation_as_written	source	sentence
374	acr-android	:44	05 Reference/acr-android.md:74	| 7 | **Battery** | `DeviceUtils.isBatteryLow` — `dip/utils/DeviceUtils.kt:17-18`, threshold `MIN_BATTERY_LEVEL = 5f` (`:44`), read via a null-receiver `registerReceiver(ACTION_BATTERY_CHANGED)` (`:26
521	acr-android	:317	05 Reference/acr-android.md:206	- **User-facing quality feedback** = `QcrIssue`, derived from the native scan status by `AlgoRunner.handleScanStatus()` (`:317`), surfaced through `CameraViewModel.State.qcrIssue` and drawn with the f
524	acr-android	:273-316	05 Reference/acr-android.md:208	- **Accepted frames** are written to disk immediately as `<index>.jpg|.png` under `filesDir/exams/<localId>/` (`AlgoRunner.handleValidFrameResult` `:273-316`; suffix from `Model.imagesSuffix` `:107-10
552	acr-android	:18-22	05 Reference/acr-android.md:236	Base URLs come from `ServerEnvironment.fromBuildConfig()` (`urine/environment/ServerEnvironment.kt:26`); a `DynamicEnvironmentQrData` type (`:18-22`) supports overriding the environment by QR in debug
557	acr-android	:156-158	05 Reference/acr-android.md:239	- **Offline queue + upload state machine**: **`SyncManager`** (`urine/core/SyncManager.kt`, 903 lines), a `Store.Subscriber` that re-evaluates on every state change (`:156-158`).
917	qacr-android	:271-273	05 Reference/qacr-current-state.md:397	- `CameraViewModel.saveState()`, `loadState()`, `handleDestroyed()` are literally unimplemented — `ui/screens/camera/CameraViewModel.kt:119-125` and `:271-273`:
942	qacr-android	:214-218	05 Reference/qacr-current-state.md:465	The `android.shared-chat` engine *does* support a timer button (`android.shared-chat/chat/src/main/java/io/healthy/shared/chat/views/TimerButtonView.kt`; `Chat.kt:64` `handleTimerButtonTapped()`, `:21
943	qacr-android	:369	05 Reference/qacr-current-state.md:465	The `android.shared-chat` engine *does* support a timer button (`android.shared-chat/chat/src/main/java/io/healthy/shared/chat/views/TimerButtonView.kt`; `Chat.kt:64` `handleTimerButtonTapped()`, `:21
1123	qacr-android	:560	05 Reference/qacr-current-state.md:786	- `AndroidQacr/app/src/main/java/io/healthy/qacr/others/AlgoRunner.kt:558`, `:560` — `AnalyticsEvent.QRSecondaryExtraction`.
1158	qacr-android	:396-424	05 Reference/qacr-current-state.md:833	- Encryption at rest: `app/src/main/java/io/healthy/qacr/model/Preferences.kt:6-10` — `EncryptedSharedPreferences` + `MasterKeys`, with an `AppKeyStore`-based RSA path (`:396-424`); `app/src/main/java
1235		:20-30	05 Reference/qacr-current-state.md:1215	- `model/State.kt` (591 lines) is the Dip Android state, with the QACR-irrelevant parts commented out of the root `State` (`:20-30`) and out of `AppReducer` (`:14-24`): `ScanFlowState`, `ResultsState`
1236		:14-24	05 Reference/qacr-current-state.md:1215	- `model/State.kt` (591 lines) is the Dip Android state, with the QACR-irrelevant parts commented out of the root `State` (`:20-30`) and out of `AppReducer` (`:14-24`): `ScanFlowState`, `ResultsState`
1273	qacr-ios	:305-314	03 Specs/FR-CAM-001 — Acquire and transmit the IVTS frame set.md:126	Execution: `CameraViewModel.requestNextFrame(settings:)` (`:305-314`) applies `wbGains: .continues, exposure: .evBias(value: .init(evBias))` with `evBias = 1.13` (`:93`).
1274	qacr-ios	:93	03 Specs/FR-CAM-001 — Acquire and transmit the IVTS frame set.md:126	Execution: `CameraViewModel.requestNextFrame(settings:)` (`:305-314`) applies `wbGains: .continues, exposure: .evBias(value: .init(evBias))` with `evBias = 1.13` (`:93`).
1331	qacr-ios	:82	03 Specs/FR-CAM-003 — Record the applied camera parameter set with each image.md:143	1. `ExamBuilder.addFrame(…, exposureTime:…)` receives the value (`:82`) and `saveFrameMetadata(…)` (`:121-134`) **never stores it** — `FrameData.Metadata` has no `exposureTime` field, so the argument 
1332	qacr-ios	:121-134	03 Specs/FR-CAM-003 — Record the applied camera parameter set with each image.md:143	1. `ExamBuilder.addFrame(…, exposureTime:…)` receives the value (`:82`) and `saveFrameMetadata(…)` (`:121-134`) **never stores it** — `FrameData.Metadata` has no `exposureTime` field, so the argument 
1371	qacr-ios	:90-112	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:132	**QACR iOS today.** **PARTIAL — transmission real, status indication absent.** The state exists and is persisted: `ExamUploadOperation.stepEnded` writes the step and error code (`:90-112`) and `Result
1376	qacr-android	:268-277	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:147	**QACR Android today.** **PARTIAL, same shape and worse propagation.** `SyncManager` runs `createExam → uploadTrace` plus an independent IMAGES queue; the `onNetworkError`/`onOtherError`/`onException`
1377	qacr-android	:303-310	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:147	**QACR Android today.** **PARTIAL, same shape and worse propagation.** `SyncManager` runs `createExam → uploadTrace` plus an independent IMAGES queue; the `onNetworkError`/`onOtherError`/`onException`
1378	qacr-android	:210	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:147	**QACR Android today.** **PARTIAL, same shape and worse propagation.** `SyncManager` runs `createExam → uploadTrace` plus an independent IMAGES queue; the `onNetworkError`/`onOtherError`/`onException`
1379	qacr-android	:122-124	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:147	A later store update does not release it either: `storeDidUpdate()` (`:122-124`) calls `syncIfNeeded()` with `fromQueue == null`, which returns early at `:133-139` precisely *because* `nextQueue.isBus
1380	qacr-android	:133-139	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:147	A later store update does not release it either: `storeDidUpdate()` (`:122-124`) calls `syncIfNeeded()` with `fromQueue == null`, which returns early at `:133-139` precisely *because* `nextQueue.isBus
1381	qacr-android	:486-525	03 Specs/FR-COM-003 — Transmit on successful capture and show the upload status.md:147	`examDidFail(...)` is **commented out in full** (`:486-525`), so failures never reach `ScanSession.error` and therefore never reach any UI. `UploadHandler`'s default handlers likewise only log (`core/
1500	qacr-android	:90-91	03 Specs/FR-FLW-004 — Only the current steps instruction is displayed.md:134	**QACR Android today.** **partly exists**, identically — same pre-loading (`ChatItemProvider.kt:29-35`, `InitialItemGroups.checkAgainstParams` at `:90-91`), same exposure-gated rendering, same transcr
1513	qacr-android	:90-91	03 Specs/FR-FLW-005 — Steps sequenced in procedure order no out-of-order arrival.md:120	**QACR Android today.** **exists**, same chain and the same double-producer arrangement (`ChatItemProvider.kt:29-35`, `:90-91`); the demo skip is not release-reachable — it is attached only under `Bui
1849	qacr-android	:547	03 Specs/FR-IMG-013 — Real-time guidance toward valid distance angle and framing.md:175	- **Android decouples text from voice.** `CameraViewModel.handlePreviewFrame` updates the text state at `MIN_TEXT_UPDATE_INTERVAL = 750L` (`ui/screens/camera/CameraViewModel.kt:224-241`, constant at `
1956	qacr-ios	:290-299	03 Specs/FR-IMG-016 — Normalise the captured image against the Color Print refer.md:145	- The app explicitly requests the normalise stage: `Input.startBlock = Key.normalize = "Normalize"`, `stopBlock = "CheckBoundaries"` (`AlgorithmService.swift:193-198`, `:162`), written to `AlgoInput.j
1997	qacr-ios	:19	03 Specs/FR-IMG-021 — Detect specular reflection and block outside thresholds.md:167	- `minValidFrames` also exists as a backend key that nothing reads (`Quant/Infrastructure/Network/APIKeys.swift:132`) — the same dead-key pattern recorded elsewhere in part 1. Note that the `ExamAPI.s
1998	qacr-ios	:234	03 Specs/FR-IMG-021 — Detect specular reflection and block outside thresholds.md:167	- `minValidFrames` also exists as a backend key that nothing reads (`Quant/Infrastructure/Network/APIKeys.swift:132`) — the same dead-key pattern recorded elsewhere in part 1. Note that the `ExamAPI.s
2014	qacr-android	:931	03 Specs/FR-IMG-021 — Detect specular reflection and block outside thresholds.md:192	`AlgoRunner.kt:869` and `:931` both reference members that do not exist.
2038	qacr-ios	:411-424	03 Specs/FR-IMG-022 — Practice scan during a timed waiting period.md:149	- **The scanning-window clause is already a switch.** `CameraTimeoutPolicy` (`Quant/Features/ExamSession/Camera/ViewModel/CameraSessionLifecycle.swift:30-35`) has exactly two values, `.default` (enfor
2043	qacr-ios	:504	03 Specs/FR-IMG-022 — Practice scan during a timed waiting period.md:160	- **The QCR/guidance clause is free.** `QcrManager` is owned per view-model (`CameraViewModel.swift:62`), configured at `:247-251`, fed per frame at `:504`, and has a `reset()` that clears every bucke
2068	qacr-android	:324-326	03 Specs/FR-IMG-022 — Practice scan during a timed waiting period.md:199	- **The recording clause has the same absence of a seam.** `AlgoRunner.handleValidFrameResult(...)` (`others/AlgoRunner.kt:312`) writes the image to the exam directory (`:324-326`) and then commits th
2072	qacr-android	:224-231	03 Specs/FR-IMG-022 — Practice scan during a timed waiting period.md:199	- **The recording clause has the same absence of a seam.** `AlgoRunner.handleValidFrameResult(...)` (`others/AlgoRunner.kt:312`) writes the image to the exam directory (`:324-326`) and then commits th
2073	qacr-android	:316-336	03 Specs/FR-IMG-022 — Practice scan during a timed waiting period.md:199	- **The recording clause has the same absence of a seam.** `AlgoRunner.handleValidFrameResult(...)` (`others/AlgoRunner.kt:312`) writes the image to the exam directory (`:324-326`) and then commits th
2087	qacr-ios	:263-264	03 Specs/FR-IMG-023 — Preparing and evaluating state after the frame set.md:116	- **The state exists.** `CameraViewState.Stage` has `processing` and `done` (`Quant/Features/ExamSession/Camera/SupportingObjects/Models/CameraViewState.swift:16-17`), and `updateState()` (`CameraView
2091	qacr-ios	:147-148	03 Specs/FR-IMG-023 — Preparing and evaluating state after the frame set.md:123	- **The indication is wordless.** `CameraView.updateViews()` (`.../View/CameraView.swift:125-160`) routes `.processing` to `showOverlay(for: .processing)` (`:147-148`), which starts a bare `UIActivity
2102	qacr-ios	:99-118	03 Specs/FR-IMG-023 — Preparing and evaluating state after the frame set.md:132	The retry half is otherwise correct: the alert reaches `CameraViewController`'s sink (`:99-118`), which shows a loading state on the button and calls `viewModel.input.handleRescan { ... }` (`:111-115`
2103	qacr-ios	:111-115	03 Specs/FR-IMG-023 — Preparing and evaluating state after the frame set.md:132	The retry half is otherwise correct: the alert reaches `CameraViewController`'s sink (`:99-118`), which shows a loading state on the button and calls `viewModel.input.handleRescan { ... }` (`:111-115`
2126	qacr-android	:487-497	03 Specs/FR-IMG-023 — Preparing and evaluating state after the frame set.md:176	- Only after `SUCCESS_DISPLAY_TIME` — computed as the Lottie duration over its speed plus a hold, roughly 2.8 s (`CameraViewModel.kt:539-543`) — does it look at the result (`:487-497`), deferring to `
2127	qacr-android	:553-565	03 Specs/FR-IMG-023 — Preparing and evaluating state after the frame set.md:176	- Only after `SUCCESS_DISPLAY_TIME` — computed as the Lottie duration over its speed plus a hold, roughly 2.8 s (`CameraViewModel.kt:539-543`) — does it look at the result (`:487-497`), deferring to `
2211		:403-541	03 Specs/FR-RDY-002 — Minimum hardware characteristics block test start.md:104	**ACR today.** - **iOS — `NOT IMPLEMENTED IN ACR.`** Verified three ways: `supportedHardwareConfig` has zero matches across `iosDip` (`*.swift`, `*.yml`, case-insensitive); it is not among the 44 fiel
2445	qacr-ios	:38	03 Specs/FR-SEC-014 — no PHI from a build without the transport controls.md:147	Develop's auth host (`:38`) is out of scope.
2601	qacr-android	:173-178	03 Specs/FR-TIM-001 — A defined start event minimum duration permitted window an.md:126	**QACR Android today.** **absent.** Only `SCAN_TIMER_TOTAL_TIME` / `scanStartedAt` / `scanTimerElapsedTime` (`model/Model.kt:156,161-167`), recorded into frame metadata; the timeout dispatcher's sole 
