requirement	feature	epic	extraction_scope	evidence_rows	state
FR-ACC-001	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-002	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-003	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-004	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-005	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-006	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-007	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-008	F10.1	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ACC-009	F10.2	E10	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-001	F08.1	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-002	F08.2	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-003	F08.2	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-004	F08.2	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-005	F08.3	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-006	F08.3	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-007	F08.3	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-008	F08.3	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-009	F08.3	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-010	F08.4	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-011	F08.4	E08	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ALG-012	F08.4	E08	QACR-APP-FR-01 Rev1.19	15	evidenced
FR-ANL-001	F14.1	E14	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-002	F14.2	E14	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-003	F14.2	E14	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-004	F14.4	E14	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-005	F14.3	E14	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-006	F11.6	E11	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-007	F11.6	E11	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-008	F11.6	E11	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-ANL-009	F11.7	E11	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-001	F02.1	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-002	F02.1	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-003	F02.1	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-004	F02.2	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-005	F02.2	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-006	F02.3	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-007	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-008	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-010	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-011	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-012	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-013	F02.5	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-014	F02.5	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-015	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-016	F02.6	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-017	F02.8	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-018	F02.2	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-019	F02.2	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-020	F02.4	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-AUT-021	F02.5	E02	QACR-APP-FR-01 Rev1.20	0	no-evidence-found
FR-AUT-022	F02.5	E02	QACR-APP-FR-01 Rev1.20	0	no-evidence-found
FR-AUT-023	F02.1	E02	QACR-APP-FR-01 Rev1.20	0	no-evidence-found
FR-AUT-024	F02.2	E02	QACR-APP-FR-01 Rev1.20	0	no-evidence-found
FR-CAM-001	F06.1	E06	QACR-APP-FR-01 Rev1.19	16	evidenced
FR-CAM-002	F06.1	E06	QACR-APP-FR-01 Rev1.19	42	evidenced
FR-CAM-003	F06.1	E06	QACR-APP-FR-01 Rev1.19	23	evidenced
FR-CAM-004	F06.1	E06	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CFG-001	F01.9	E01	QACR-APP-FR-01 Rev1.19	6	evidenced
FR-CFG-002	F01.9	E01	QACR-APP-FR-01 Rev1.19	10	evidenced
FR-CFG-003	F01.9	E01	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CFG-004	F01.9	E01	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CFG-006	F01.9	E01	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CFG-008	F01.9	E01	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CNS-001	F02.7	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CNS-002	F02.7	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CNS-003	F02.7	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CNS-005	F02.7	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CNS-006	F02.7	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-CNS-007	F02.7	E02	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-COM-001	F12.1	E12	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-COM-002	F12.1	E12	QACR-APP-FR-01 Rev1.19	0	no-evidence-found
FR-COM-003	F12.2	E12	QACR-APP-FR-01 Rev1.19	22	evidenced
FR-COM-004	F12.2	E12	QACR-APP-FR-01 Rev1.19	6	evidenced
