id	fact	what_no_requirement_states	attributed_to	date	affects
CTX-01	QACR's reaction time is significantly longer than ACR's, so the user leaving the app mid-test is normal rather than exceptional. The app must resume to the same point in the chat session the user was at.	No requirement states how long the waits are, and FR-TIM-001's values are explicitly TBD pending the timing-flex study. FR-STA-003 says 'resume at the active step' without naming the chat position, which is the thing neither QACR app persists. So the requirement is satisfiable on paper by resuming the wrong granularity.	Omry	2026-08-04	FR-STA-003 FR-STA-002 FR-TIM-001 FR-TIM-003 FR-STA-006 FR-STA-007 FR-TIM-002
CTX-02	The QACR application was built and used for usability testing without full functionality. Parts of it exist to support a study, not to ship.	Nothing in the requirements distinguishes implemented behaviour from behaviour prototyped for the usability study. The distinction exists only in the team's knowledge, and every 'partial' classification in this vault inherits that ambiguity.	Omry	2026-08-04	FR-TXT-008 FR-TXT-009 FR-TXT-010 FR-TXT-013 FR-TXT-014 FR-TXT-012 FR-FLW-004
CTX-03	Result generation and fetching do not exist and must be developed -- on mobile and on the backend. The app currently reports success unconditionally and tells the user the scan completed via a static chat bubble.	FR-RES-001 says 'after receiving results ... display them' and therefore presumes receipt. No requirement owns the fetch step itself, nor the contract it fetches against -- that is open item O-D0 and it has no backend owner.	Omry	2026-08-04	FR-RES-001 FR-COM-003 FR-ALG-012 FR-COM-005 FR-RES-005 FR-RES-002 FR-RES-003 FR-RES-004 FR-TXT-019 FR-TXT-021
CTX-04	The timing mechanism must change: QACR's chemistry differs from ACR's, so the windows, minimums and expiry behaviour are not ACR's with different numbers -- they are a different shape, with at least three time-dependent stages.	Every value is TBD and the timing-flex study that would establish them has no date. FR-TIM-006's limit is 'currently specified as 30 minutes' with no status, and the mixing duration exists in exactly one place in the product: a single Hebrew string.	Omry	2026-08-04	FR-TIM-001 FR-TIM-006 FR-TIM-007 FR-TIM-008 FR-TIM-009 FR-TIM-011 FR-TIM-005 FR-TXT-014 FR-TXT-015
CTX-05	Statefulness needs its own feature scope, plan and spec -- it is a capability, not a set of independent requirements.	No requirement states the capability as a whole; each states a fragment of it. There is no requirement for a test-level status model, which FR-STA-007 nonetheless forces into existence.	Omry	2026-08-04	FR-STA-002 FR-STA-003 FR-STA-005 FR-STA-006 FR-STA-007 FR-TIM-002 FR-TIM-003
CTX-06	ACR is reference material only. QACR is a different product and the requirements will be revisited and adjusted per feature, rather than treated as final.	The requirements were written by restating ACR, so each may silently encode an ACR assumption. Nothing in the document marks which clauses are deliberate product decisions and which are inherited description -- and that distinction cannot be recovered from the document alone.	Omry	2026-08-04	
CTX-07	ANSWERED: the cinematic-video-bubble work IS meant to land. It currently lives on a feature branch of ios-chat-services, pinned by revision in Quant.xcodeproj, plus a local edit to chat_input_analysis.json (7 bubbles). The branch is to be tested against the shipping ACR commercial app and then merged to main.	No requirement concerns chat item types, so nothing in the document constrains this either way. It is an implementation choice that the analysis mistook for a finding.	Omry	2026-08-10	FR-FLW-002 FR-FLW-003 FR-TXT-006 FR-TXT-010 FR-TXT-012 FR-TXT-015
CTX-08	The requirements document moved from Rev 1.1 to Rev 1.5. 184 in-scope requirements, 9 priorities assigned where there were none, 17 requirement texts changed, FR-PLT-007 reclassified to Appendix D, and the PM now maintains his own register of 33 open items with Q- refs.	The 42 dependency-driven promotions were computed against Rev 1.1 and have NOT been recomputed against Rev 1.5. 28 remain in force, each resting on a document priority Rev 1.5 did not change, so they carry forward on the same basis — but any milestone that depends on a promotion is provisional until closure is re-derived. Sizes, acceptance criteria and per-platform ACR classification were all analysed against Rev 1.1 wording.	Product	2026-08-06	FR-RES-001 FR-IMG-016 FR-RDY-003 FR-CAM-002 FR-ALG-012 FR-TIM-006
CTX-09	ANSWERED: the kind = revision pin to a feature branch of ios-chat-services is deliberate, not a stray edit. It is the working basis until the branch is validated against the shipping ACR app and merged to main.	No requirement states which repository state (committed HEAD, a pinned revision, or an unmerged branch) is the intended basis for QACR claims.	Omry	2026-08-10	FR-FLW-002 FR-FLW-003
CTX-10	ANSWERED, and it is bigger than a branch pin: the ios-camera side branch exists to capture RAW instead of PNG. It is work-in-progress and a decision is required before it merges.	No requirement states which repository state (committed HEAD, a pinned revision, or an unmerged branch) is the intended basis for QACR claims.	Omry	2026-08-10	FR-IMG-016 FR-IMG-002 FR-IMG-010
CTX-11	CORRECTED: the algorithm is not built from the source in our checkouts. On BOTH platforms a build phase downloads it as a binary that the app knows how to read; the version fetched is whatever the algorithm team names, currently pinned at 3.0.0-feature_cb_wells_margin-37, which is old (newer branches exist). The local android.shared-urine-algo clone is a source reference, not the build input.	Nothing records which algorithm binary version a given claim was written against, so algorithm-contract claims have an undeclared expiry. Worth stamping the fetched version into the pin record.	Omry	2026-08-10	FR-IMG-014 FR-IMG-021 FR-IMG-001
